id,kerajinan,warna,kesulitan,kategori,jenis_benang,ukuran_benang,link
158,Roti Selai Anggur,"[{""id"": 10, ""nama"": ""ungu""}, {""id"": 11, ""nama"": ""coklat muda""}, {""id"": 12, ""nama"": ""coklat tua""}, {""id"": 13, ""nama"": ""krem""}]","[{""id"": 15, ""nama"": ""menengah""}]","[{""id"": 18, ""nama"": ""amigurumi""}]","[{""id"": 28, ""nama"": ""polyester""}, {""id"": 29, ""nama"": ""katun""}, {""id"": 30, ""nama"": ""akrilik""}, {""id"": 31, ""nama"": ""wol""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/1899WqMnhBDcvzudhUQorelPqkjjISTjd/view?usp=drive_link
159,Sandal Wolverine,"[{""id"": 1, ""nama"": ""putih""}, {""id"": 2, ""nama"": ""hitam""}, {""id"": 6, ""nama"": ""kuning""}, {""id"": 13, ""nama"": ""krem""}]","[{""id"": 15, ""nama"": ""menengah""}]","[{""id"": 22, ""nama"": ""aksesoris""}]","[{""id"": 30, ""nama"": ""akrilik""}, {""id"": 34, ""nama"": ""bamboo""}]","[{""id"": 37, ""nama"": ""light""}, {""id"": 38, ""nama"": ""jumbo""}]",https://drive.google.com/file/d/1hfMVE7JwLl4vTq8CyUg6PhvaaLiCQ5Fk/view?usp=sharing
160,Scallop V-Neck Tank Top,"[{""id"": 1, ""nama"": ""putih""}, {""id"": 2, ""nama"": ""hitam""}, {""id"": 3, ""nama"": ""abu-abu""}, {""id"": 4, ""nama"": ""merah""}, {""id"": 5, ""nama"": ""jingga""}, {""id"": 6, ""nama"": ""kuning""}, {""id"": 7, ""nama"": ""hijau""}, {""id"": 8, ""nama"": ""biru""}, {""id"": 9, ""nama"": ""pink""}, {""id"": 10, ""nama"": ""ungu""}, {""id"": 11, ""nama"": ""coklat muda""}, {""id"": 12, ""nama"": ""coklat tua""}, {""id"": 13, ""nama"": ""krem""}]","[{""id"": 16, ""nama"": ""sulit""}]","[{""id"": 21, ""nama"": ""pakaian""}, {""id"": 23, ""nama"": ""baju""}]","[{""id"": 29, ""nama"": ""katun""}]","[{""id"": 36, ""nama"": ""fine""}]",https://forthefrills.com/scallop-v-neck-tank-top-free-crochet-pattern
161,Scrub Julia,"[{""id"": 1, ""nama"": ""putih""}, {""id"": 4, ""nama"": ""merah""}, {""id"": 5, ""nama"": ""jingga""}, {""id"": 6, ""nama"": ""kuning""}, {""id"": 7, ""nama"": ""hijau""}, {""id"": 8, ""nama"": ""biru""}, {""id"": 9, ""nama"": ""pink""}, {""id"": 10, ""nama"": ""ungu""}]","[{""id"": 14, ""nama"": ""mudah""}]","[{""id"": 19, ""nama"": ""barang""}]","[{""id"": 33, ""nama"": ""nilon""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/1vI-Ewu6bFtB_qS-CAS2DQv8t0q-dFnIE/view?usp=drive_link
162,Selimut Bintang,"[{""id"": 1, ""nama"": ""putih""}, {""id"": 6, ""nama"": ""kuning""}]","[{""id"": 14, ""nama"": ""mudah""}, {""id"": 15, ""nama"": ""menengah""}]","[{""id"": 19, ""nama"": ""barang""}, {""id"": 43, ""nama"": ""selimut""}]","[{""id"": 30, ""nama"": ""akrilik""}]","[{""id"": 37, ""nama"": ""light""}]",https://drive.google.com/file/d/1q7swTzEcF-ukIEMDMENuTYoMqlMk1sNY/view?usp=sharing
163,Selimut Garis Barella,"[{""id"": 3, ""nama"": ""abu-abu""}, {""id"": 7, ""nama"": ""hijau""}, {""id"": 13, ""nama"": ""krem""}]","[{""id"": 14, ""nama"": ""mudah""}, {""id"": 15, ""nama"": ""menengah""}]","[{""id"": 19, ""nama"": ""barang""}, {""id"": 22, ""nama"": ""aksesoris""}]","[{""id"": 30, ""nama"": ""akrilik""}, {""id"": 42, ""nama"": ""alpaca""}]","[{""id"": 38, ""nama"": ""jumbo""}]",https://drive.google.com/file/d/1lDSBu8LmxWicnD4F_Dt40DVEIOreE4ia/view?usp=drive_link
164,Selimut Motif Bunga,"[{""id"": 1, ""nama"": ""putih""}, {""id"": 2, ""nama"": ""hitam""}, {""id"": 3, ""nama"": ""abu-abu""}, {""id"": 4, ""nama"": ""merah""}, {""id"": 5, ""nama"": ""jingga""}, {""id"": 6, ""nama"": ""kuning""}, {""id"": 7, ""nama"": ""hijau""}, {""id"": 8, ""nama"": ""biru""}, {""id"": 9, ""nama"": ""pink""}, {""id"": 10, ""nama"": ""ungu""}, {""id"": 11, ""nama"": ""coklat muda""}, {""id"": 12, ""nama"": ""coklat tua""}, {""id"": 13, ""nama"": ""krem""}]","[{""id"": 14, ""nama"": ""mudah""}, {""id"": 15, ""nama"": ""menengah""}]","[{""id"": 19, ""nama"": ""barang""}, {""id"": 43, ""nama"": ""selimut""}]","[{""id"": 28, ""nama"": ""polyester""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/1Keskk2YbDSL6K0s9iykK8SuJ5vNbp4TG/view?usp=drive_link
165,Semangka,"[{""id"": 1, ""nama"": ""putih""}, {""id"": 2, ""nama"": ""hitam""}, {""id"": 4, ""nama"": ""merah""}, {""id"": 7, ""nama"": ""hijau""}]","[{""id"": 15, ""nama"": ""menengah""}]","[{""id"": 18, ""nama"": ""amigurumi""}]","[{""id"": 28, ""nama"": ""polyester""}, {""id"": 29, ""nama"": ""katun""}, {""id"": 30, ""nama"": ""akrilik""}, {""id"": 31, ""nama"": ""wol""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/162rQ28dYnBlQYGpGqDDZHq4kCEVNLa3I/view?usp=drive_link
166,Sereal,"[{""id"": 1, ""nama"": ""putih""}, {""id"": 3, ""nama"" :""abu-abu""}, {""id"": 8, ""nama"": ""biru""}, {""id"": 13, ""nama"": ""krem""}]","[{""id"": 15, ""nama"": ""menengah""}, {""id"": 16, ""nama"": ""sulit""}]","[{""id"": 18, ""nama"": ""amigurumi""}]","[{""id"": 28, ""nama"": ""polyester""}, {""id"": 29, ""nama"": ""katun""}, {""id"": 30, ""nama"": ""akrilik""}, {""id"": 31, ""nama"": ""wol""}]","[{""id"": 37, ""nama"": ""light""}]",https://drive.google.com/file/d/1u-vC6fb479ti1EVLIAv6kGPD5rRsrQni/view?usp=drive_link
167,Siput,"[{""id"": 1, ""nama"": ""putih""}, {""id"": 2, ""nama"": ""hitam""}, {""id"": 7, ""nama"": ""hijau""}, {""id"": 11, ""nama"": ""coklat muda""}, {""id"": 12, ""nama"": ""coklat tua""}, {""id"": 13, ""nama"": ""krem""}]","[{""id"": 15, ""nama"": ""menengah""}]","[{""id"": 18, ""nama"": ""amigurumi""}]","[{""id"": 28, ""nama"": ""polyester""}, {""id"": 29, ""nama"": ""katun""}, {""id"": 30, ""nama"": ""akrilik""}, {""id"": 31, ""nama"": ""wol""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/1dPmo7j5nUrRLvCTIc1j7K-q3r86IQ02L/view?usp=sharing
168,Skylar Crop Top,"[{""id"": 1, ""nama"": ""putih""}, {""id"": 2, ""nama"": ""hitam""}, {""id"": 3, ""nama"": ""abu-abu""}, {""id"": 4, ""nama"": ""merah""}, {""id"": 5, ""nama"": ""jingga""}, {""id"": 6, ""nama"": ""kuning""}, {""id"": 7, ""nama"": ""hijau""}, {""id"": 8, ""nama"": ""biru""}, {""id"": 9, ""nama"": ""pink""}, {""id"": 10, ""nama"": ""ungu""}, {""id"": 11, ""nama"": ""coklat muda""}, {""id"": 12, ""nama"": ""coklat tua""}, {""id"": 13, ""nama"": ""krem""}]","[{""id"": 16, ""nama"": ""sulit""}, {""id"": 17, ""nama"": ""sangat sulit""}]","[{""id"": 21, ""nama"": ""pakaian""}, {""id"": 23, ""nama"": ""baju""}]","[{""id"": 29, ""nama"": ""katun""}, {""id"": 30, ""nama"": ""akrilik""}, {""id"": 31, ""nama"": ""wol""}]","[{""id"": 35, ""nama"": ""medium""}, {""id"": 36, ""nama"": ""fine""}, {""id"": 37, ""nama"": ""light""}]",https://forthefrills.com/beginner-crochet-crop-top-free-pattern-video-tutorial/
169,S'more,"[{""id"": 1, ""nama"": ""putih""}, {""id"": 11, ""nama"": ""coklat muda""}]","[{""id"": 15, ""nama"": ""menengah""}]","[{""id"": 18, ""nama"": ""amigurumi""}]","[{""id"": 28, ""nama"": ""polyester""}, {""id"": 29, ""nama"": ""katun""}, {""id"": 30, ""nama"": ""akrilik""}, {""id"": 31, ""nama"": ""wol""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/1tivsRFGjJGrfiXgrITVXuPF2KmxN_Bdl/view?usp=drive_link
170,Solid Square Top,"[{""id"": 1, ""nama"": ""putih""}, {""id"": 2, ""nama"": ""hitam""}, {""id"": 3, ""nama"": ""abu-abu""}, {""id"": 4, ""nama"": ""merah""}, {""id"": 5, ""nama"": ""jingga""}, {""id"": 6, ""nama"": ""kuning""}, {""id"": 7, ""nama"": ""hijau""}, {""id"": 8, ""nama"": ""biru""}, {""id"": 9, ""nama"": ""pink""}, {""id"": 10, ""nama"": ""ungu""}, {""id"": 11, ""nama"": ""coklat muda""}, {""id"": 12, ""nama"": ""coklat tua""}, {""id"": 13, ""nama"": ""krem""}]","[{""id"": 14, ""nama"": ""mudah""}, {""id"": 15, ""nama"": ""menengah""}]","[{""id"": 21, ""nama"": ""pakaian""}, {""id"": 23, ""nama"": ""baju""}]","[{""id"": 30, ""nama"": ""akrilik""}, {""id"": 29, ""nama"": ""katun""}]","[{""id"": 36, ""nama"": ""fine""}]",https://www.craftpassion.com/solid-square-crochet-top/
171,Stroberi,"[{""id"": 4, ""nama"": ""merah""}, {""id"": 7, ""nama"": ""hijau""}, {""id"": 9, ""nama"": ""pink""}]","[{""id"": 15, ""nama"": ""menengah""}]","[{""id"": 18, ""nama"": ""amigurumi""}]","[{""id"": 28, ""nama"": ""polyester""}, {""id"": 29, ""nama"": ""katun""}, {""id"": 30, ""nama"": ""akrilik""}, {""id"": 31, ""nama"": ""wol""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/1jf4zKwUH_NMJP5jv5GNESaE4vfvaqoUq/view?usp=sharing
172,Sugar Cookie,"[{""id"": 1, ""nama"": ""putih""}, {""id"": 2, ""nama"": ""hitam""}, {""id"": 3, ""nama"": ""abu-abu""}, {""id"": 4, ""nama"": ""merah""}, {""id"": 5, ""nama"": ""jingga""}, {""id"": 6, ""nama"": ""kuning""}, {""id"": 7, ""nama"": ""hijau""}, {""id"": 8, ""nama"": ""biru""}, {""id"": 9, ""nama"": ""pink""}, {""id"": 10, ""nama"": ""ungu""}, {""id"": 11, ""nama"": ""coklat muda""}, {""id"": 12, ""nama"": ""coklat tua""}, {""id"": 13, ""nama"": ""krem""}]","[{""id"": 15, ""nama"": ""menengah""}]","[{""id"": 18, ""nama"": ""amigurumi""}]","[{""id"": 28, ""nama"": ""polyester""}, {""id"": 29, ""nama"": ""katun""}, {""id"": 30, ""nama"": ""akrilik""}, {""id"": 31, ""nama"": ""wol""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/1YXQswm6QognGg6dZk0ZnG2Xqw1ZpaRlF/view?usp=sharing
173,Summer Pullover,"[{""id"": 1, ""nama"": ""putih""}, {""id"": 2, ""nama"": ""hitam""}, {""id"": 3, ""nama"": ""abu-abu""}, {""id"": 4, ""nama"": ""merah""}, {""id"": 5, ""nama"": ""jingga""}, {""id"": 6, ""nama"": ""kuning""}, {""id"": 7, ""nama"": ""hijau""}, {""id"": 8, ""nama"": ""biru""}, {""id"": 9, ""nama"": ""pink""}, {""id"": 10, ""nama"": ""ungu""}, {""id"": 11, ""nama"": ""coklat muda""}, {""id"": 12, ""nama"": ""coklat tua""}, {""id"": 13, ""nama"": ""krem""}]","[{""id"": 15, ""nama"": ""menengah""}, {""id"": 16, ""nama"": ""sulit""}]","[{""id"": 21, ""nama"": ""pakaian""}, {""id"": 23, ""nama"": ""baju""}]","[{""id"": 34, ""nama"": ""bamboo""}]","[{""id"": 37, ""nama"": ""light""}]",https://drive.google.com/file/d/1Ss0_EXKZ_u9j4hnsIzxtC1k6Tw8QOith/view?usp=drive_link
174,Sushi,"[{""id"": 1, ""nama"": ""putih""}, {""id"": 2, ""nama"": ""hitam""}, {""id"": 4, ""nama"": ""merah""}, {""id"": 5, ""nama"": ""jingga""}, {""id"": 7, ""nama"": ""hijau""}]","[{""id"": 15, ""nama"": ""menengah""}]","[{""id"": 18, ""nama"": ""amigurumi""}]","[{""id"": 28, ""nama"": ""polyester""}, {""id"": 29, ""nama"": ""katun""}, {""id"": 30, ""nama"": ""akrilik""}, {""id"": 31, ""nama"": ""wol""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/1rWeZ5IoHnOGzZpGXQgCtsud4T_K7MNcU/view?usp=sharing
175,Susu Kotak,"[{""id"": 1, ""nama"": ""putih""}, {""id"": 8, ""nama"": ""biru""}]","[{""id"": 15, ""nama"": ""menengah""}]","[{""id"": 18, ""nama"": ""amigurumi""}]","[{""id"": 28, ""nama"": ""polyester""}, {""id"": 29, ""nama"": ""katun""}, {""id"": 30, ""nama"": ""akrilik""}, {""id"": 31, ""nama"": ""wol""}]","[{""id"": 37, ""nama"": ""light""}]",https://drive.google.com/file/d/12wE2qDTTuI91mpZ7vieoNZ-M7duA7sA_/view?usp=drive_link
176,Sweater Turning Point,"[{""id"": 1, ""nama"": ""putih""}, {""id"": 2, ""nama"": ""hitam""}, {""id"": 3, ""nama"": ""abu-abu""}, {""id"": 4, ""nama"": ""merah""}, {""id"": 5, ""nama"": ""jingga""}, {""id"": 6, ""nama"": ""kuning""}, {""id"": 7, ""nama"": ""hijau""}, {""id"": 8, ""nama"": ""biru""}, {""id"": 9, ""nama"": ""pink""}, {""id"": 10, ""nama"": ""ungu""}, {""id"": 11, ""nama"": ""coklat muda""}, {""id"": 12, ""nama"": ""coklat tua""}, {""id"": 13, ""nama"": ""krem""}]","[{""id"": 16, ""nama"": ""sulit""}, {""id"": 17, ""nama"": ""sangat sulit""}]","[{""id"": 21, ""nama"": ""pakaian""}, {""id"": 23, ""nama"": ""baju""}, {""id"": 24, ""nama"": ""jaket""}]","[{""id"": 30, ""nama"": ""akrilik""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/14JPbpt-edDraGuBAQNafnogBrTaFdDs0/view?usp=drive_link
177,Swiftie Hat,"[{""id"": 1, ""nama"": ""putih""}, {""id"": 2, ""nama"": ""hitam""}, {""id"": 3, ""nama"": ""abu-abu""}, {""id"": 4, ""nama"": ""merah""}, {""id"": 5, ""nama"": ""jingga""}, {""id"": 6, ""nama"": ""kuning""}, {""id"": 7, ""nama"": ""hijau""}, {""id"": 8, ""nama"": ""biru""}, {""id"": 9, ""nama"": ""pink""}, {""id"": 10, ""nama"": ""ungu""}, {""id"": 11, ""nama"": ""coklat muda""}, {""id"": 12, ""nama"": ""coklat tua""}, {""id"": 13, ""nama"": ""krem""}]","[{""id"": 14, ""nama"": ""mudah""}, {""id"": 15, ""nama"": ""menengah""}]","[{""id"": 20, ""nama"": ""topi""}, {""id"": 21, ""nama"": ""pakaian""}, {""id"": 22, ""nama"": ""aksesoris""}]","[{""id"": 30, ""nama"": ""akrilik""}, {""id"": 32, ""nama"": ""rayon""}]","[{""id"": 40, ""nama"": ""super bulky""}]",https://drive.google.com/file/d/1IVshEFAR5WcgzRkDGYFWOAU8iOn5b90o/view?usp=drive_link
178,Syal Cowl,"[{""id"": 1, ""nama"": ""putih""}, {""id"": 2, ""nama"": ""hitam""}, {""id"": 3, ""nama"": ""abu-abu""}, {""id"": 4, ""nama"": ""merah""}, {""id"": 5, ""nama"": ""jingga""}, {""id"": 6, ""nama"": ""kuning""}, {""id"": 7, ""nama"": ""hijau""}, {""id"": 8, ""nama"": ""biru""}, {""id"": 9, ""nama"": ""pink""}, {""id"": 10, ""nama"": ""ungu""}, {""id"": 11, ""nama"": ""coklat muda""}, {""id"": 12, ""nama"": ""coklat tua""}, {""id"": 13, ""nama"": ""krem""}]","[{""id"": 14, ""nama"": ""mudah""}]","[{""id"": 21, ""nama"": ""pakaian""}, {""id"": 22, ""nama"": ""aksesoris""}, {""id"": 26, ""nama"": ""syal""}]","[{""id"": 31, ""nama"": ""wol""}, {""id"": 30, ""nama"": ""akrilik""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/114fwca72fnCxs3Hm9OIIrusaQk2Cy7jB/view?usp=sharing
179,Syal Crescent Eyelet,"[{""id"": 5, ""nama"": ""kuning""}, {""id"": 7, ""nama"": ""hijau""}]","[{""id"": 15, ""nama"": ""menengah""}]","[{""id"": 21, ""nama"": ""pakaian""}, {""id"": 22, ""nama"": ""aksesoris""}, {""id"": 26, ""nama"": ""syal""}]","[{""id"": 30, ""nama"": ""akrilik""}]","[{""id"": 39, ""nama"": ""super fine""}]",https://drive.google.com/file/d/1q2ZGLtiaT_XkT09I6sLCBCRw8_0g8uzJ/view?usp=sharing
180,Syal Lemon,"[{""id"": 1, ""nama"": ""putih""}, {""id"": 2, ""nama"": ""hitam""}, {""id"": 3, ""nama"": ""abu-abu""}, {""id"": 4, ""nama"": ""merah""}, {""id"": 5, ""nama"": ""jingga""}, {""id"": 6, ""nama"": ""kuning""}, {""id"": 7, ""nama"": ""hijau""}, {""id"": 8, ""nama"": ""biru""}, {""id"": 9, ""nama"": ""pink""}, {""id"": 10, ""nama"": ""ungu""}, {""id"": 11, ""nama"": ""coklat muda""}, {""id"": 12, ""nama"": ""coklat tua""}, {""id"": 13, ""nama"": ""krem""}]","[{""id"": 14, ""nama"": ""mudah""}, {""id"": 15, ""nama"": ""menengah""}]","[{""id"": 21, ""nama"": ""pakaian""}, {""id"": 22, ""nama"": ""aksesoris""}, {""id"": 26, ""nama"": ""syal""}]","[{""id"": 30, ""nama"": ""akrilik""}, {""id"": 32, ""nama"": ""rayon""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/1e7qsYABE3_hkqS95tqoZ-ZhfGlzM__uN/view?usp=sharing
181,Syal Raspberry,"[{""id"": 1, ""nama"": ""putih""}, {""id"": 2, ""nama"": ""hitam""}, {""id"": 3, ""nama"": ""abu-abu""}, {""id"": 4, ""nama"": ""merah""}, {""id"": 5, ""nama"": ""jingga""}, {""id"": 6, ""nama"": ""kuning""}, {""id"": 7, ""nama"": ""hijau""}, {""id"": 8, ""nama"": ""biru""}, {""id"": 9, ""nama"": ""pink""}, {""id"": 10, ""nama"": ""ungu""}, {""id"": 11, ""nama"": ""coklat muda""}, {""id"": 12, ""nama"": ""coklat tua""}, {""id"": 13, ""nama"": ""krem""}]","[{""id"": 14, ""nama"": ""mudah""}, {""id"": 15, ""nama"": ""menengah""}]","[{""id"": 21, ""nama"": ""pakaian""}, {""id"": 22, ""nama"": ""aksesoris""}, {""id"": 26, ""nama"": ""syal""}]","[{""id"": 30, ""nama"": ""akrilik""}, {""id"": 32, ""nama"": ""rayon""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/1owkhwijS5WNYKtI9LdtYGwE6B5bcJuLx/view?usp=sharing
182,Tabung Tes,"[{""id"": 1, ""nama"": ""putih""}, {""id"": 8, ""nama"": ""biru""}]","[{""id"": 15, ""nama"": ""menengah""}]","[{""id"": 18, ""nama"": ""amigurumi""}]","[{""id"": 28, ""nama"": ""polyester""}, {""id"": 29, ""nama"": ""katun""}, {""id"": 30, ""nama"": ""akrilik""}, {""id"": 31, ""nama"": ""wol""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/1Oyqoj0sMiF_qBaiM8nLd5mVA-FeM4gXg/view?usp=drive_link
183,Taco,"[{""id"": 6, ""nama"": ""kuning""}, {""id"": 7, ""nama"": ""hijau""}, {""id"": 11, ""nama"": ""coklat muda""}]","[{""id"": 15, ""nama"": ""menengah""}]","[{""id"": 18, ""nama"": ""amigurumi""}]","[{""id"": 28, ""nama"": ""polyester""}, {""id"": 29, ""nama"": ""katun""}, {""id"": 30, ""nama"": ""akrilik""}, {""id"": 31, ""nama"": ""wol""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/1aTtMqHAs5LSYZtEhSnTYkdhadjvwVdan/view?usp=sharing
184,Tas Besar,"[{""id"": 1, ""nama"": ""putih""}, {""id"": 2, ""nama"": ""hitam""}, {""id"": 3, ""nama"": ""abu-abu""}, {""id"": 4, ""nama"": ""merah""}, {""id"": 5, ""nama"": ""jingga""}, {""id"": 6, ""nama"": ""kuning""}, {""id"": 7, ""nama"": ""hijau""}, {""id"": 8, ""nama"": ""biru""}, {""id"": 9, ""nama"": ""pink""}, {""id"": 10, ""nama"": ""ungu""}, {""id"": 11, ""nama"": ""coklat muda""}, {""id"": 12, ""nama"": ""coklat tua""}, {""id"": 13, ""nama"": ""krem""}]","[{""id"": 14, ""nama"": ""mudah""}, {""id"": 15, ""nama"": ""menengah""}]","[{""id"": 19, ""nama"": ""barang""}, {""id"": 25, ""nama"": ""tas""}]","[{""id"": 28, ""nama"": ""polyester""}]","[{""id"": 38, ""nama"": ""jumbo""}]",https://drive.google.com/file/d/1uCm0SMiSKZ2n1NaowyjIiUETbosOrP5Y/view?usp=drive_link
185,Tas Cross Body,"[{""id"": 1, ""nama"": ""putih""}, {""id"": 2, ""nama"": ""hitam""}, {""id"": 3, ""nama"": ""abu-abu""}, {""id"": 4, ""nama"": ""merah""}, {""id"": 5, ""nama"": ""jingga""}, {""id"": 6, ""nama"": ""kuning""}, {""id"": 7, ""nama"": ""hijau""}, {""id"": 8, ""nama"": ""biru""}, {""id"": 9, ""nama"": ""pink""}, {""id"": 10, ""nama"": ""ungu""}, {""id"": 11, ""nama"": ""coklat muda""}, {""id"": 12, ""nama"": ""coklat tua""}, {""id"": 13, ""nama"": ""krem""}]","[{""id"": 14, ""nama"": ""mudah""}, {""id"": 15, ""nama"": ""menengah""}]","[{""id"": 19, ""nama"": ""barang""}, {""id"": 25, ""nama"": ""tas""}]","[{""id"": 28, ""nama"": ""polyester""}]","[{""id"": 38, ""nama"": ""jumbo""}]",https://drive.google.com/file/d/1d4ySTO4VQAa6wQNclME1E1dROAMRPgen/view?usp=sharing
186,Tas Grit Stitch,"[{""id"": 1, ""nama"": ""putih""}, {""id"": 2, ""nama"": ""hitam""}, {""id"": 3, ""nama"": ""abu-abu""}, {""id"": 4, ""nama"": ""merah""}, {""id"": 5, ""nama"": ""jingga""}, {""id"": 6, ""nama"": ""kuning""}, {""id"": 7, ""nama"": ""hijau""}, {""id"": 8, ""nama"": ""biru""}, {""id"": 9, ""nama"": ""pink""}, {""id"": 10, ""nama"": ""ungu""}, {""id"": 11, ""nama"": ""coklat muda""}, {""id"": 12, ""nama"": ""coklat tua""}, {""id"": 13, ""nama"": ""krem""}]","[{""id"": 14, ""nama"": ""mudah""}, {""id"": 15, ""nama"": ""menengah""}]","[{""id"": 19, ""nama"": ""barang""}, {""id"": 25, ""nama"": ""tas""}]","[{""id"": 31, ""nama"": ""wol""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/1Ws1sz9yXgcZzNz66GYusKn6rd8R3CgjT/view?usp=sharing
187,Tas Motif Bunga,"[{""id"": 1, ""nama"": ""putih""}, {""id"": 2, ""nama"": ""hitam""}, {""id"": 3, ""nama"": ""abu-abu""}, {""id"": 4, ""nama"": ""merah""}, {""id"": 5, ""nama"": ""jingga""}, {""id"": 6, ""nama"": ""kuning""}, {""id"": 7, ""nama"": ""hijau""}, {""id"": 8, ""nama"": ""biru""}, {""id"": 9, ""nama"": ""pink""}, {""id"": 10, ""nama"": ""ungu""}, {""id"": 11, ""nama"": ""coklat muda""}, {""id"": 12, ""nama"": ""coklat tua""}, {""id"": 13, ""nama"": ""krem""}]","[{""id"": 16, ""nama"": ""sulit""}]","[{""id"": 19, ""nama"": ""barang""}, {""id"": 25, ""nama"": ""tas""}]","[{""id"": 30, ""nama"": ""akrilik""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/1InAnPcTXXhj9v1F46A5-o1ku3mD_4wFU/view?usp=drive_link
188,Tatakan Calabria,"[{""id"": 1, ""nama"": ""putih""}, {""id"": 2, ""nama"": ""hitam""}, {""id"": 3, ""nama"": ""abu-abu""}, {""id"": 4, ""nama"": ""merah""}, {""id"": 5, ""nama"": ""jingga""}, {""id"": 6, ""nama"": ""kuning""}, {""id"": 7, ""nama"": ""hijau""}, {""id"": 8, ""nama"": ""biru""}, {""id"": 9, ""nama"": ""pink""}, {""id"": 10, ""nama"": ""ungu""}, {""id"": 11, ""nama"": ""coklat muda""}, {""id"": 12, ""nama"": ""coklat tua""}, {""id"": 13, ""nama"": ""krem""}]","[{""id"": 14, ""nama"": ""mudah""}]","[{""id"": 19, ""nama"": ""barang""}]","[{""id"": 28, ""nama"": ""polyester""}, {""id"": 29, ""nama"": ""katun""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/1_Wqu3MCFdIlpafu6xp5G44eetqUHoFkz/view?usp=sharing
189,Tatakan Sunburst,"[{""id"": 4, ""nama"": ""merah""}, {""id"": 5, ""nama"": ""jingga""}, {""id"": 6, ""nama"": ""kuning""}, {""id"": 7, ""nama"": ""hijau""}, {""id"": 8, ""nama"": ""biru""}]","[{""id"": 14, ""nama"": ""mudah""}, {""id"": 15, ""nama"": ""menengah""}]","[{""id"": 19, ""nama"": ""barang""}]","[{""id"": 30, ""nama"": ""akrilik""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/1xHxSVOjVZFzH6PF5jepyVVMHoWTGyKz7/view?usp=sharing
190,Teh Celup,"[{""id"": 1, ""nama"": ""putih""}, {""id"": 4, ""nama"": ""merah""}, {""id"": 11, ""nama"": ""coklat muda""}]","[{""id"": 15, ""nama"": ""menengah""}]","[{""id"": 18, ""nama"": ""amigurumi""}]","[{""id"": 28, ""nama"": ""polyester""}, {""id"": 29, ""nama"": ""katun""}, {""id"": 30, ""nama"": ""akrilik""}, {""id"": 31, ""nama"": ""wol""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/1w6aVsPiF9eK1nyiO3SpCiqFYiBISI_fE/view?usp=sharing
191,Telur Mata Sapi,"[{""id"": 1, ""nama"": ""putih""}, {""id"": 6, ""nama"": ""kuning""}]","[{""id"": 15, ""nama"": ""menengah""}]","[{""id"": 18, ""nama"": ""amigurumi""}]","[{""id"": 28, ""nama"": ""polyester""}, {""id"": 29, ""nama"": ""katun""}, {""id"": 30, ""nama"": ""akrilik""}, {""id"": 31, ""nama"": ""wol""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/1VgZ09bL7bM8BFSIWqPan0sJ4WaAnQT91/view?usp=sharing
192,Telur Robin,"[{""id"": 8, ""nama"": ""biru""}, {""id"": 11, ""nama"": ""coklat muda""}, {""id"": 12, ""nama"": ""coklat tua""}]","[{""id"": 15, ""nama"": ""menengah""}]","[{""id"": 18, ""nama"": ""amigurumi""}]","[{""id"": 28, ""nama"": ""polyester""}, {""id"": 29, ""nama"": ""katun""}, {""id"": 30, ""nama"": ""akrilik""}, {""id"": 31, ""nama"": ""wol""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/1gXwlyzylzswIhLefofzrruu5WDCn585u/view?usp=sharing
