id,kerajinan,warna,kesulitan,kategori,jenis_benang,ukuran_benang,link,gambar
179,Sushi,"[{""id"": 1, ""nama"": ""putih""}, {""id"": 2, ""nama"": ""hitam""}, {""id"": 4, ""nama"": ""merah""}, {""id"": 5, ""nama"": ""jingga""}, {""id"": 7, ""nama"": ""hijau""}]","[{""id"": 15, ""nama"": ""menengah""}]","[{""id"": 18, ""nama"": ""amigurumi""}]","[{""id"": 28, ""nama"": ""polyester""}, {""id"": 29, ""nama"": ""katun""}, {""id"": 30, ""nama"": ""akrilik""}, {""id"": 31, ""nama"": ""wol""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/1rWeZ5IoHnOGzZpGXQgCtsud4T_K7MNcU/view?usp=sharing,sushi.png
180,Susu Kotak,"[{""id"": 1, ""nama"": ""putih""}, {""id"": 8, ""nama"": ""biru""}]","[{""id"": 15, ""nama"": ""menengah""}]","[{""id"": 18, ""nama"": ""amigurumi""}]","[{""id"": 28, ""nama"": ""polyester""}, {""id"": 29, ""nama"": ""katun""}, {""id"": 30, ""nama"": ""akrilik""}, {""id"": 31, ""nama"": ""wol""}]","[{""id"": 37, ""nama"": ""light""}]",https://drive.google.com/file/d/12wE2qDTTuI91mpZ7vieoNZ-M7duA7sA_/view?usp=drive_link,susu-kotak.png
181,Sweater Turning Point,"[{""id"": 1, ""nama"": ""putih""}, {""id"": 2, ""nama"": ""hitam""}, {""id"": 3, ""nama"": ""abu-abu""}, {""id"": 4, ""nama"": ""merah""}, {""id"": 5, ""nama"": ""jingga""}, {""id"": 6, ""nama"": ""kuning""}, {""id"": 7, ""nama"": ""hijau""}, {""id"": 8, ""nama"": ""biru""}, {""id"": 9, ""nama"": ""pink""}, {""id"": 10, ""nama"": ""ungu""}, {""id"": 11, ""nama"": ""coklat muda""}, {""id"": 12, ""nama"": ""coklat tua""}, {""id"": 13, ""nama"": ""krem""}]","[{""id"": 16, ""nama"": ""sulit""}, {""id"": 17, ""nama"": ""sangat sulit""}]","[{""id"": 21, ""nama"": ""pakaian""}, {""id"": 23, ""nama"": ""baju""}, {""id"": 24, ""nama"": ""jaket""}]","[{""id"": 30, ""nama"": ""akrilik""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/14JPbpt-edDraGuBAQNafnogBrTaFdDs0/view?usp=drive_link,sweater-turning-point.png
182,Syal Cowl,"[{""id"": 1, ""nama"": ""putih""}, {""id"": 2, ""nama"": ""hitam""}, {""id"": 3, ""nama"": ""abu-abu""}, {""id"": 4, ""nama"": ""merah""}, {""id"": 5, ""nama"": ""jingga""}, {""id"": 6, ""nama"": ""kuning""}, {""id"": 7, ""nama"": ""hijau""}, {""id"": 8, ""nama"": ""biru""}, {""id"": 9, ""nama"": ""pink""}, {""id"": 10, ""nama"": ""ungu""}, {""id"": 11, ""nama"": ""coklat muda""}, {""id"": 12, ""nama"": ""coklat tua""}, {""id"": 13, ""nama"": ""krem""}]","[{""id"": 14, ""nama"": ""mudah""}]","[{""id"": 21, ""nama"": ""pakaian""}, {""id"": 22, ""nama"": ""aksesoris""}, {""id"": 26, ""nama"": ""syal""}]","[{""id"": 31, ""nama"": ""wol""}, {""id"": 30, ""nama"": ""akrilik""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/114fwca72fnCxs3Hm9OIIrusaQk2Cy7jB/view?usp=sharing,syal-cowl.png
183,Syal Crescent Eyelet,"[{""id"": 5, ""nama"": ""kuning""}, {""id"": 7, ""nama"": ""hijau""}]","[{""id"": 15, ""nama"": ""menengah""}]","[{""id"": 21, ""nama"": ""pakaian""}, {""id"": 22, ""nama"": ""aksesoris""}, {""id"": 26, ""nama"": ""syal""}]","[{""id"": 30, ""nama"": ""akrilik""}]","[{""id"": 39, ""nama"": ""super fine""}]",https://drive.google.com/file/d/1q2ZGLtiaT_XkT09I6sLCBCRw8_0g8uzJ/view?usp=sharing,syal-crescent-eyelet.png
184,Syal Lemon,"[{""id"": 1, ""nama"": ""putih""}, {""id"": 2, ""nama"": ""hitam""}, {""id"": 3, ""nama"": ""abu-abu""}, {""id"": 4, ""nama"": ""merah""}, {""id"": 5, ""nama"": ""jingga""}, {""id"": 6, ""nama"": ""kuning""}, {""id"": 7, ""nama"": ""hijau""}, {""id"": 8, ""nama"": ""biru""}, {""id"": 9, ""nama"": ""pink""}, {""id"": 10, ""nama"": ""ungu""}, {""id"": 11, ""nama"": ""coklat muda""}, {""id"": 12, ""nama"": ""coklat tua""}, {""id"": 13, ""nama"": ""krem""}]","[{""id"": 14, ""nama"": ""mudah""}, {""id"": 15, ""nama"": ""menengah""}]","[{""id"": 21, ""nama"": ""pakaian""}, {""id"": 22, ""nama"": ""aksesoris""}, {""id"": 26, ""nama"": ""syal""}]","[{""id"": 30, ""nama"": ""akrilik""}, {""id"": 32, ""nama"": ""rayon""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/1e7qsYABE3_hkqS95tqoZ-ZhfGlzM__uN/view?usp=sharing,syal-lemon.png
185,Syal Raspberry,"[{""id"": 1, ""nama"": ""putih""}, {""id"": 2, ""nama"": ""hitam""}, {""id"": 3, ""nama"": ""abu-abu""}, {""id"": 4, ""nama"": ""merah""}, {""id"": 5, ""nama"": ""jingga""}, {""id"": 6, ""nama"": ""kuning""}, {""id"": 7, ""nama"": ""hijau""}, {""id"": 8, ""nama"": ""biru""}, {""id"": 9, ""nama"": ""pink""}, {""id"": 10, ""nama"": ""ungu""}, {""id"": 11, ""nama"": ""coklat muda""}, {""id"": 12, ""nama"": ""coklat tua""}, {""id"": 13, ""nama"": ""krem""}]","[{""id"": 14, ""nama"": ""mudah""}, {""id"": 15, ""nama"": ""menengah""}]","[{""id"": 21, ""nama"": ""pakaian""}, {""id"": 22, ""nama"": ""aksesoris""}, {""id"": 26, ""nama"": ""syal""}]","[{""id"": 30, ""nama"": ""akrilik""}, {""id"": 32, ""nama"": ""rayon""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/1owkhwijS5WNYKtI9LdtYGwE6B5bcJuLx/view?usp=sharing,syal-raspberry.png
186,Tabung Tes,"[{""id"": 1, ""nama"": ""putih""}, {""id"": 8, ""nama"": ""biru""}]","[{""id"": 15, ""nama"": ""menengah""}]","[{""id"": 18, ""nama"": ""amigurumi""}]","[{""id"": 28, ""nama"": ""polyester""}, {""id"": 29, ""nama"": ""katun""}, {""id"": 30, ""nama"": ""akrilik""}, {""id"": 31, ""nama"": ""wol""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/1Oyqoj0sMiF_qBaiM8nLd5mVA-FeM4gXg/view?usp=drive_link,tabung-tes.png
187,Taco,"[{""id"": 6, ""nama"": ""kuning""}, {""id"": 7, ""nama"": ""hijau""}, {""id"": 11, ""nama"": ""coklat muda""}]","[{""id"": 15, ""nama"": ""menengah""}]","[{""id"": 18, ""nama"": ""amigurumi""}]","[{""id"": 28, ""nama"": ""polyester""}, {""id"": 29, ""nama"": ""katun""}, {""id"": 30, ""nama"": ""akrilik""}, {""id"": 31, ""nama"": ""wol""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/1aTtMqHAs5LSYZtEhSnTYkdhadjvwVdan/view?usp=sharing,taco.png
188,Tas Besar,"[{""id"": 1, ""nama"": ""putih""}, {""id"": 2, ""nama"": ""hitam""}, {""id"": 3, ""nama"": ""abu-abu""}, {""id"": 4, ""nama"": ""merah""}, {""id"": 5, ""nama"": ""jingga""}, {""id"": 6, ""nama"": ""kuning""}, {""id"": 7, ""nama"": ""hijau""}, {""id"": 8, ""nama"": ""biru""}, {""id"": 9, ""nama"": ""pink""}, {""id"": 10, ""nama"": ""ungu""}, {""id"": 11, ""nama"": ""coklat muda""}, {""id"": 12, ""nama"": ""coklat tua""}, {""id"": 13, ""nama"": ""krem""}]","[{""id"": 14, ""nama"": ""mudah""}, {""id"": 15, ""nama"": ""menengah""}]","[{""id"": 19, ""nama"": ""barang""}, {""id"": 25, ""nama"": ""tas""}]","[{""id"": 28, ""nama"": ""polyester""}]","[{""id"": 38, ""nama"": ""jumbo""}]",https://drive.google.com/file/d/1uCm0SMiSKZ2n1NaowyjIiUETbosOrP5Y/view?usp=drive_link,tas-besar.png
